Date,7203.T,6758.T,6861.T,8306.T,9432.T,6501.T,7267.T,9984.T,4502.T,6902.T,7751.T,6954.T,8035.T,6857.T,8316.T,6762.T,4063.T,9433.T,3382.T,2914.T,4568.T,7011.T,7012.T,9501.T,4519.T,6506.T,6503.T,7013.T,7974.T,6367.T,8058.T,8031.T,6301.T,8801.T,5401.T,4911.T,7269.T,7741.T,9104.T,9101.T,6702.T,6752.T,6723.T,8411.T,8766.T,4543.T,6098.T,3407.T,2502.T,2802.T
2025-01-23,2829.752197265625,3317.5322265625,67212.34375,1845.4849853515625,146.20108032226562,3997.713134765625,1425.77197265625,2678.245849609375,3848.907470703125,2123.445068359375,4772.78662109375,4581.89013671875,26758.794921875,10002.005859375,3646.2265625,1881.4615478515625,5023.67822265625,2342.295166015625,2344.322509765625,3709.7783203125,4341.27099609375,2248.297119140625,1341.0196533203125,417.0,6344.88818359375,4463.06689453125,2619.017822265625,1205.6578369140625,9454.6904296875,18533.4140625,2375.937744140625,2962.21875,4319.6279296875,1285.2451171875,551.55224609375,2546.5654296875,1827.8819580078125,21189.890625,4788.7744140625,4471.8994140625,2717.7333984375,1506.112060546875,2143.383544921875,3840.13525390625,5001.599609375,2978.819091796875,10997.3427734375,1010.8024291992188,1569.311279296875,3067.50439453125
2025-01-24,2788.635986328125,3233.002685546875,67696.3125,1845.4849853515625,145.71792602539062,3986.842041015625,1413.82275390625,2629.686279296875,3859.428955078125,2099.19921875,4777.609375,4653.20703125,26471.01171875,10002.005859375,3624.960205078125,1892.7630615234373,5051.04443359375,2357.791015625,2349.646240234375,3702.149169921875,4245.18994140625,2303.871826171875,1352.62939453125,426.6000061035156,6284.009765625,4518.6240234375,2626.392578125,1218.6644287109375,9782.0791015625,18548.146484375,2388.02783203125,2964.157470703125,4317.708984375,1297.47607421875,551.9058227539062,2524.43408203125,1828.37158203125,21022.03125,4852.4091796875,4539.74072265625,2754.908447265625,1483.734375,2117.2265625,3862.422119140625,5030.65625,2997.615966796875,10962.4462890625,1009.836669921875,1595.5311279296875,3085.78076171875
2025-01-27,2826.849853515625,3242.947265625,67400.0078125,1859.033447265625,147.84378051757812,3834.64208984375,1428.6396484375,2410.794921875,3914.9052734375,2124.4150390625,4789.1845703125,4583.84375,25173.55859375,9141.13671875,3681.0263671875,1876.5478515625,5032.474609375,2471.104248046875,2356.90576171875,3768.906005859375,4302.05419921875,2267.15283203125,1360.6971435546875,426.2000122070313,6254.05322265625,4422.13037109375,2594.435546875,1252.5946044921875,9686.1376953125,18739.66796875,2404.470458984375,2970.942626953125,4336.89453125,1357.653076171875,560.9215087890625,2599.680419921875,1830.81982421875,21125.70703125,4873.3046875,4552.9326171875,2781.1787109375,1478.3831787109375,2091.06982421875,3923.468994140625,5045.1845703125,3023.338134765625,10773.0087890625,1021.42724609375,1617.381103515625,3118.87646484375
2025-01-28,2795.408203125,3338.416015625,67646.9296875,1905.968994140625,148.71343994140625,3589.54150390625,1423.8599853515625,2285.0380859375,3987.598388671875,2099.684326171875,4778.57421875,4586.7744140625,23729.7734375,8123.02197265625,3761.2587890625,1866.720458984375,4992.40234375,2508.87548828125,2363.197021484375,3810.867431640625,4364.80029296875,2108.864013671875,1326.4583740234375,417.6000061035156,6178.68017578125,4538.11767578125,2547.728759765625,1260.79443359375,10138.150390625,18636.541015625,2397.21630859375,2946.7099609375,4382.93994140625,1388.96484375,557.5626831054688,2601.6474609375,1817.5992431640625,20913.416015625,4866.65625,4533.14501953125,2788.61376953125,1468.65380859375,2016.5472412109373,4032.965576171875,5030.65625,3008.498291015625,10817.8759765625,1010.319580078125,1638.7454833984375,3037.86669921875
2025-01-29,2834.58935546875,3464.712890625,68259.296875,1905.968994140625,148.0370330810547,3655.758056640625,1416.690673828125,2340.5703125,3972.29443359375,2100.169189453125,4799.794921875,4639.52978515625,24285.826171875,8477.322265625,3768.9921875,1946.3226318359373,4779.3359375,2502.580322265625,2361.7451171875,3819.450439453125,4308.91748046875,2186.767822265625,1328.426025390625,420.3999938964844,6165.1513671875,4504.978515625,2533.96240234375,1250.7568359375,10078.8056640625,18528.50390625,2393.347412109375,2949.617919921875,4420.3515625,1409.0238037109375,563.396484375,2605.090087890625,1841.1026611328125,21081.275390625,4861.9072265625,4501.10888671875,2879.320556640625,1481.7884521484375,2134.5,4123.08251953125,5010.31640625,3023.338134765625,10992.3583984375,1017.563720703125,1640.2022705078125,3076.889404296875
2025-01-30,2852.970458984375,3432.889892578125,66204.8984375,1901.13037109375,147.94041442871094,3726.91650390625,1411.910888671875,2315.66796875,3998.11962890625,2130.71875,4890.466796875,4533.04248046875,24739.447265625,8750.013671875,3754.4921875,1927.6505126953125,4789.109375,2503.064453125,2369.48876953125,3815.635986328125,4325.583984375,2215.5478515625,1336.1002197265625,424.6000061035156,6151.623046875,4376.3203125,2514.296630859375,1270.5494384765625,10311.2412109375,18017.779296875,2410.75732421875,2994.2060546875,4376.224609375,1389.943359375,568.5230712890625,2598.69677734375,1833.2681884765625,20720.869140625,4902.74755859375,4535.02978515625,2892.207763671875,1528.003173828125,2073.302734375,4155.05908203125,5049.05859375,3008.498291015625,10922.564453125,1021.42724609375,1649.427734375,3097.14208984375
2025-01-31,2876.672607421875,3420.95654296875,66422.1875,1914.6787109375,147.5538787841797,3899.87060546875,1413.3448486328125,2343.55859375,4025.857666015625,2092.410400390625,4840.30810546875,4551.6044921875,25563.76953125,8617.6484375,3739.025634765625,1855.9102783203125,4766.6298828125,2511.296630859375,2390.29931640625,3788.93310546875,4193.228515625,2278.565673828125,1390.4100341796875,409.1000061035156,6507.23046875,4424.080078125,2528.554443359375,1325.403564453125,10118.3681640625,18042.33203125,2407.85546875,2991.298095703125,4543.13916015625,1379.179931640625,570.8211669921875,2574.59814453125,1830.3302001953125,20710.994140625,5022.41943359375,4601.92919921875,2991.836669921875,1553.7860107421875,2080.212158203125,4173.47021484375,4997.7255859375,2899.179443359375,10897.638671875,1019.4955444335938,1635.3465576171875,3084.79296875
2025-02-03,2732.524658203125,3361.28857421875,62817.12109375,1863.8721923828125,146.68423461914062,3824.759033203125,1311.5380859375,2354.515625,3940.730224609375,1917.8409423828125,4748.67236328125,4250.70458984375,25119.904296875,8260.3623046875,3629.79345703125,1690.318115234375,4510.55908203125,2516.139404296875,2342.38671875,3776.535400390625,4036.362060546875,2213.56298828125,1375.848876953125,398.6000061035156,6474.37548828125,4143.37158203125,2503.480224609375,1343.0755615234375,10063.96875,17457.9453125,2374.970458984375,2906.4833984375,4263.9892578125,1367.9273681640625,563.396484375,2510.171875,1829.350830078125,19377.986328125,5006.27294921875,4553.875,3023.55908203125,1486.6531982421875,1982.987548828125,4128.896484375,4881.49951171875,2817.06640625,10608.498046875,986.17236328125,1611.554443359375,3075.407470703125
2025-02-04,2779.4453125,3455.762451171875,61236.81640625,1878.8721923828125,146.29769897460938,3930.50830078125,1325.399169921875,2371.947265625,3956.0341796875,1954.2095947265625,4892.39599609375,4315.1826171875,25388.17578125,8496.2314453125,3655.89306640625,1684.421630859375,4466.57763671875,2516.139404296875,2349.646240234375,3781.3037109375,3938.321044921875,2200.66162109375,1375.4552001953125,402.5,6428.9580078125,4162.865234375,2518.229736328125,1365.69580078125,10286.513671875,17708.3984375,2404.953857421875,2898.728759765625,4340.73193359375,1369.88427734375,563.2197265625,2520.99169921875,1867.0543212890625,19101.51171875,5011.9716796875,4585.9111328125,3023.55908203125,1488.112548828125,1996.8062744140625,4108.54736328125,4914.4296875,2827.454345703125,10842.8017578125,991.0017700195312,1591.1611328125,3211.247314453125
2025-02-05,2866.514892578125,3493.55224609375,61592.38671875,1867.7431640625,146.7808380126953,4012.537841796875,1433.8973388671875,2408.3046875,3916.818115234375,1954.694580078125,4797.8662109375,4279.03564453125,25432.072265625,8423.580078125,3651.06005859375,1640.1981201171875,4509.58203125,2557.784423828125,2339.967041015625,3751.739990234375,3857.927001953125,2168.408447265625,1376.6358642578125,400.6000061035156,6401.90087890625,4077.09326171875,2395.317138671875,1352.971923828125,10583.240234375,17443.21484375,2415.109619140625,2848.32470703125,4381.98095703125,1355.2069091796875,570.1140747070312,2467.385009765625,1897.902587890625,19071.888671875,5076.556640625,4773.41796875,3019.59375,1691.4571533203125,2020.989013671875,4089.16748046875,4921.2099609375,2769.57958984375,10832.8310546875,978.4452514648438,1591.1611328125,3122.334228515625
