Date,0700.HK,9988.HK,0005.HK,1299.HK,2318.HK,0941.HK,1810.HK,0388.HK,0027.HK,0003.HK,0016.HK,0883.HK,0857.HK,1211.HK,0002.HK,1038.HK,0006.HK,0012.HK,0017.HK,1816.HK,2899.HK,0386.HK,1928.HK,0001.HK,0066.HK,2388.HK,0688.HK,1113.HK,0823.HK,0175.HK,2269.HK,9618.HK,9999.HK,3690.HK,6098.HK,0968.HK,1024.HK,2382.HK,0241.HK,0285.HK
2025-11-05,629.0,158.5,107.0588150024414,79.5999984741211,56.25,86.6500015258789,43.31999969482422,416.970458984375,38.68000030517578,7.329999923706055,93.41488647460938,20.34000015258789,8.359999656677246,95.4000015258789,65.16951751708984,51.34999847412109,50.09999847412109,28.040000915527344,7.119999885559082,3.180000066757202,30.739999771118164,4.199999809265137,20.07999992370605,51.650001525878906,29.34000015258789,37.8986930847168,12.899999618530272,39.52000045776367,39.71295928955078,17.510000228881836,34.959999084472656,122.8000030517578,217.0111846923828,101.1999969482422,6.269999980926514,3.569999933242798,70.94999694824219,69.25,5.679999828338623,35.0
2025-11-06,644.0,165.0,110.32544708251952,81.19999694824219,58.0,87.1500015258789,43.43999862670898,426.2233276367188,38.540000915527344,7.480000019073486,94.0900650024414,20.8799991607666,8.449999809265137,97.6500015258789,65.70490264892578,52.150001525878906,50.650001525878906,28.239999771118164,7.25,3.2300000190734863,32.060001373291016,4.25,20.440000534057617,52.54999923706055,30.040000915527344,38.553829193115234,13.06999969482422,39.63999938964844,39.86748504638672,17.8799991607666,35.0,126.9000015258789,219.80618286132807,103.3000030517578,6.400000095367432,3.690000057220459,72.55000305175781,70.3499984741211,5.730000019073486,35.65999984741211
2025-11-07,634.0,160.10000610351562,109.62782287597656,81.5,57.95000076293945,87.1500015258789,42.2400016784668,421.8922119140625,38.77999877929688,7.550000190734863,94.28296661376952,21.18000030517578,8.510000228881836,97.9000015258789,65.89957427978516,52.95000076293945,50.95000076293945,29.36000061035156,7.230000019073486,3.1700000762939453,32.63999938964844,4.289999961853027,20.34000015258789,52.54999923706055,30.0,38.41486358642578,12.989999771118164,39.43999862670898,39.94474792480469,17.690000534057617,33.779998779296875,124.0,218.6083374023437,102.0,6.309999942779541,3.9800000190734863,68.25,68.5,5.610000133514404,35.15999984741211
2025-11-10,649.5,163.39999389648438,110.12612915039062,81.30000305175781,59.20000076293945,87.80000305175781,42.36000061035156,429.1763916015625,40.2400016784668,7.53000020980835,95.17664337158205,22.440000534057617,8.760000228881836,101.8000030517578,66.1429214477539,53.29999923706055,51.04999923706055,29.479999542236328,7.510000228881836,3.109999895095825,33.18000030517578,4.389999866485596,21.059999465942383,52.900001525878906,29.920000076293945,38.81191253662109,13.229999542236328,39.97999954223633,40.06064224243164,17.8799991607666,34.15999984741211,124.5,219.207275390625,103.3000030517578,6.409999847412109,4.0,69.80000305175781,69.6500015258789,5.800000190734863,35.63999938964844
2025-11-11,650.0,160.39999389648438,112.01969909667967,82.3499984741211,59.400001525878906,88.5,42.97999954223633,428.5857543945313,40.900001525878906,7.539999961853027,97.80802917480467,22.3799991607666,8.819999694824219,101.3000030517578,66.38627624511719,53.75,51.150001525878906,29.520000457763672,7.539999961853027,3.0999999046325684,32.81999969482422,4.389999866485596,21.15999984741211,53.04999923706055,30.040000915527344,39.06999969482422,13.289999961853027,40.47999954223633,40.17653274536133,18.1200008392334,33.2400016784668,123.0999984741211,219.60655212402344,102.0,6.46999979019165,3.920000076293945,69.5,69.55000305175781,5.769999980926514,35.41999816894531
2025-11-12,657.0,156.8000030517578,113.11597442626952,84.0999984741211,60.29999923706055,88.8499984741211,43.70000076293945,430.5544738769531,42.31999969482422,7.610000133514404,103.07080078125,22.940000534057617,9.06999969482422,100.5,67.01898956298828,54.0,51.650001525878906,30.15999984741211,7.78000020980835,3.0799999237060547,32.619998931884766,4.46999979019165,21.3799991607666,55.25,30.459999084472656,39.5,13.670000076293944,41.400001525878906,40.62079620361328,17.670000076293945,33.36000061035156,124.6999969482422,221.2036895751953,101.8000030517578,6.480000019073486,3.7300000190734863,69.69999694824219,70.94999694824219,5.860000133514404,35.279998779296875
2025-11-13,656.0,162.0,113.91327667236328,84.1500015258789,60.95000076293945,87.8499984741211,43.5,429.7669982910156,41.81999969482422,7.449999809265137,101.97852325439452,22.479999542236328,8.960000038146973,102.8000030517578,66.9216537475586,54.5,51.79999923706055,30.63999938964844,7.739999771118164,3.069999933242798,34.0,4.440000057220459,21.31999969482422,55.04999923706055,30.68000030517578,39.70000076293945,13.869999885559082,41.34000015258789,40.83326721191406,17.75,34.47999954223633,124.4000015258789,223.2001037597656,102.0999984741211,6.46999979019165,3.7899999618530273,69.0999984741211,69.94999694824219,5.900000095367432,35.29999923706055
2025-11-14,641.0,154.89999389648438,112.51800537109376,82.3499984741211,59.95000076293945,87.5,42.36000061035156,418.54541015625,41.20000076293945,7.429999828338623,101.68063354492188,22.39999961853028,8.789999961853027,100.5999984741211,66.97032928466797,54.25,51.75,30.700000762939453,7.619999885559082,3.0299999713897705,33.0,4.420000076293945,21.07999992370605,54.54999923706055,30.34000015258789,39.52000045776367,13.729999542236328,40.720001220703125,40.83326721191406,17.530000686645508,33.31999969482422,116.9000015258789,219.00759887695312,100.0,6.389999866485596,3.7300000190734863,67.0999984741211,69.05000305175781,5.909999847412109,34.619998931884766
2025-11-17,636.5,154.89999389648438,111.72071075439452,81.30000305175781,59.54999923706055,86.75,41.959999084472656,415.5923767089844,41.34000015258789,7.409999847412109,101.68063354492188,22.5,8.850000381469727,100.6999969482422,67.16500854492188,54.34999847412109,51.59999847412109,30.700000762939453,7.619999885559082,3.009999990463257,32.119998931884766,4.429999828338623,20.940000534057617,54.59999847412109,30.239999771118164,39.41999816894531,13.640000343322754,40.47999954223633,40.60148239135742,17.200000762939453,32.36000061035156,115.4000015258789,218.0093994140625,100.3000030517578,6.369999885559082,3.670000076293945,66.80000305175781,67.30000305175781,5.880000114440918,34.0
2025-11-18,623.5,154.60000610351562,109.22917175292967,78.55000305175781,58.20000076293945,86.80000305175781,40.77999877929688,410.27685546875,40.2599983215332,7.300000190734863,99.39678955078124,21.799999237060547,8.84000015258789,96.9000015258789,66.9216537475586,53.95000076293945,51.34999847412109,29.84000015258789,7.449999809265137,3.0,30.71999931335449,4.440000057220459,20.6200008392334,53.34999847412109,29.84000015258789,38.560001373291016,13.43000030517578,39.43999862670898,40.389007568359375,17.0,31.89999961853028,114.3000030517578,214.615478515625,98.5999984741211,6.21999979019165,3.549999952316284,64.6500015258789,65.75,5.78000020980835,33.119998931884766
