Date,SHEL.L,AZN.L,HSBA.L,ULVR.L,BP.L,GSK.L,RIO.L,REL.L,DGE.L,AAL.L,LSEG.L,CRH.L,BA.L,GLEN.L,NG.L,RR.L,LLOY.L,BARC.L,PRU.L,CPG.L,EXPN.L,III.L,ABF.L,ANTO.L,SSE.L,NWG.L,FRES.L,WPP.L,IHG.L,JD.L,BRBY.L,DRX.L,EDV.L,AHT.L,IMB.L,MNG.L,SVT.L,VOD.L,TSCO.L,TW.L,SGE.L,AUTO.L,SGRO.L,PSN.L,MNDI.L,PSON.L,SMT.L
2024-08-19,2811.306884765625,13045.8818359375,662.943603515625,5061.259765625,441.667724609375,1598.012451171875,4819.943359375,3539.42236328125,2480.50732421875,2192.023193359375,9974.7080078125,6529.8310546875,1338.6195068359375,415.0328063964844,987.0165405273438,499.9378967285156,59.1914176940918,228.91403198242188,659.09619140625,2382.234619140625,3595.3740234375,3190.048828125,2474.48046875,1879.615234375,1897.14013671875,351.6745910644531,545.1926879882812,712.6177978515625,99.26133728027344,128.8314971923828,702.5999755859375,666.6011962890625,1629.3924560546875,5296.8603515625,2170.781494140625,211.25054931640625,2563.405029296875,75.44452667236328,341.2359313964844,163.66065979003906,1026.69482421875,828.5750122070312,895.3280029296875,1680.029541015625,1477.932373046875,1043.6044921875,866.7476196289062
2024-08-20,2731.35498046875,13097.8662109375,650.4559936523438,5047.36474609375,429.478271484375,1591.0167236328125,4772.48876953125,3523.4248046875,2440.03173828125,2200.850341796875,9946.7119140625,6517.83447265625,1310.6275634765625,410.0348205566406,988.4157104492188,492.9387817382813,58.35182189941406,225.9151763916016,652.099365234375,2371.238037109375,3600.373046875,3216.041015625,2445.498046875,1880.115234375,1876.6494140625,346.9789428710937,547.1915283203125,707.8217163085938,98.78411865234376,123.18228149414062,689.4000244140625,656.107421875,1648.3736572265625,5164.888671875,2139.812744140625,209.75303649902344,2530.425537109375,73.82571411132812,338.6371459960937,165.3586883544922,1023.6957397460938,820.9771728515625,872.7449951171875,1682.028564453125,1464.442138671875,1039.606201171875,862.9479370117188
2024-08-21,2716.863525390625,12995.8994140625,652.8535766601562,5059.1220703125,430.0278015136719,1595.0142822265625,4830.93359375,3534.423095703125,2489.00244140625,2233.706298828125,9964.7099609375,6603.8056640625,1312.127197265625,413.1335144042969,985.2176513671876,492.4388122558594,58.2718620300293,224.76559448242188,662.4945678710938,2371.238037109375,3637.36669921875,3171.054443359375,2441.500732421875,1848.62158203125,1862.156005859375,346.1796875,549.6901245117188,706.4228515625,99.07574462890624,128.13157653808594,695.4000244140625,662.1038818359375,1637.384521484375,5198.880859375,2146.805908203125,210.451889038086,2468.464111328125,73.5459213256836,339.6366882324219,165.4585723876953,1020.1968383789062,831.1743774414062,876.3422241210938,1700.01806640625,1471.936767578125,1039.606201171875,864.1478271484375
2024-08-22,2706.36962890625,13013.892578125,653.4529418945312,5121.11865234375,425.8314514160156,1596.013671875,4779.48193359375,3519.425537109375,2500.495361328125,2193.49462890625,10008.703125,6722.12255859375,1316.625732421875,405.1367492675781,987.4163208007812,497.5382080078125,58.2718620300293,225.3153839111328,664.4937133789062,2380.2353515625,3642.36572265625,3196.046875,2478.477783203125,1828.6256103515625,1865.654296875,344.5811462402344,543.6935424804688,711.2189331054688,99.12876892089844,141.82962036132812,703.4000244140625,659.6054077148438,1628.3935546875,5180.884765625,2130.04541015625,211.94940185546875,2474.46044921875,73.5459213256836,346.4334411621094,164.01025390625,1016.197998046875,839.7720336914062,875.7427368164062,1700.01806640625,1447.64794921875,1041.6053466796875,860.947998046875
2024-08-23,2718.362548828125,13071.8740234375,654.052490234375,5142.49658203125,428.9287414550781,1601.51025390625,4757.0029296875,3498.428955078125,2529.477783203125,2206.735107421875,10008.703125,6820.09521484375,1312.127197265625,410.9344482421875,994.4122314453124,498.8380432128906,59.37133407592773,230.36349487304688,675.2886352539062,2376.236572265625,3639.365966796875,3210.042724609375,2512.457275390625,1877.6156005859373,1874.6502685546875,345.38043212890625,552.6884765625,717.6137084960938,99.6855239868164,149.22854614257812,715.0,658.1063232421875,1648.3736572265625,5306.85791015625,2141.035888671875,214.3454132080078,2506.440673828125,73.96560668945312,348.9322509765625,165.65834045410156,995.904052734375,843.7708740234375,882.937255859375,1704.515625,1457.142333984375,1045.10400390625,863.1478881835938
2024-08-27,2723.359619140625,13153.84765625,660.2463989257812,5174.56396484375,431.7762756347656,1617.0006103515625,4809.45361328125,3491.43017578125,2528.478515625,2235.17724609375,10133.6875,6648.1435546875,1319.625,410.3346862792969,992.6132202148438,494.13861083984375,59.17142868041992,230.11358642578125,662.0947875976562,2365.240234375,3616.370361328125,3189.048828125,2497.46630859375,1910.1090087890625,1874.150634765625,349.0769958496094,554.1875610351562,721.810302734375,99.57947540283205,143.0794219970703,692.7999877929688,664.6024169921875,1636.3856201171875,5226.875,2150.02685546875,212.44859313964844,2509.43896484375,74.68508911132812,351.531005859375,160.56423950195312,1004.7013549804688,842.9711303710938,879.9395141601562,1631.0579833984375,1466.136962890625,1040.1058349609375,826.1500854492188
2024-08-28,2694.376953125,13195.8349609375,659.0474243164062,5202.35546875,431.17681884765625,1650.4801025390625,4753.0068359375,3521.42529296875,2517.98486328125,2192.023193359375,10218.67578125,6612.15283203125,1347.616943359375,404.3870239257813,1003.9066162109376,500.1378784179688,58.15192413330078,223.81594848632807,657.2969970703125,2380.2353515625,3656.363037109375,3159.05810546875,2502.46337890625,1796.13232421875,1881.1473388671875,337.6875305175781,546.1920776367188,720.0116577148438,100.05669403076172,137.2802734375,677.7999877929688,655.1080932617188,1589.431884765625,5250.8701171875,2157.02099609375,214.3454132080078,2529.42626953125,74.7850112915039,348.1325988769531,159.665283203125,1004.2015991210938,845.3704833984375,876.3422241210938,1643.051025390625,1464.13818359375,1043.6044921875,817.1506958007812
2024-08-29,2709.367919921875,13269.8115234375,660.1464233398438,5250.4560546875,434.3740539550781,1650.4801025390625,4790.4716796875,3577.416015625,2487.969482421875,2195.946533203125,10228.6748046875,6686.1328125,1372.60986328125,399.98773193359375,991.0142211914062,500.1378784179688,58.31184387207031,225.9651336669922,653.298828125,2404.2275390625,3702.355224609375,3168.05517578125,2494.468017578125,1829.62548828125,1873.1510009765625,342.68292236328125,554.1875610351562,725.8070068359375,101.60475158691406,138.0301513671875,675.7999877929688,652.6095581054688,1622.3995361328125,5330.8525390625,2163.015625,213.04757690429688,2530.425537109375,74.00558471679688,352.3305969238281,159.5653839111328,1017.1976928710938,848.8338623046875,859.5548706054688,1635.0556640625,1474.632080078125,1050.6019287109375,826.550048828125
2024-08-30,2679.385986328125,13269.8115234375,666.04052734375,5244.04248046875,429.0286560058594,1655.976806640625,4765.4951171875,3538.42236328125,2471.4765625,2166.5234375,10248.6728515625,6742.1171875,1362.61279296875,400.6875,998.0100708007812,496.33831787109375,58.47176742553711,228.31427001953125,651.6995239257812,2398.2294921875,3683.3583984375,3178.05224609375,2488.4716796875,1852.6207275390625,1886.1451416015625,344.8808898925781,541.1949462890625,723.6087646484375,100.93927764892578,137.93017578125,667.7999877929688,638.1182250976562,1612.4091796875,5396.8388671875,2178.00146484375,214.0459442138672,2569.4013671875,74.36532592773438,353.5300598144531,160.8638916015625,1010.6995849609376,850.8334350585938,870.5465698242188,1643.051025390625,1471.134033203125,1055.60009765625,827.9500732421875
2024-09-02,2682.8837890625,13271.8115234375,665.241455078125,5254.73193359375,429.8778991699219,1649.4808349609375,4697.0595703125,3552.420166015625,2472.975830078125,2172.407958984375,10153.6845703125,6866.0830078125,1324.1236572265625,399.58782958984375,995.41162109375,464.2423400878906,58.09194946289063,227.0647125244141,651.0999145507812,2401.228515625,3704.354736328125,3146.061767578125,2481.47607421875,1842.1229248046875,1892.1424560546875,342.5830078125,541.6946411132812,721.0108642578125,101.97742462158205,134.8306121826172,663.0,640.1170043945312,1584.436767578125,5356.84716796875,2181.997802734375,214.0459442138672,2561.406494140625,75.56443786621094,355.9288635253906,162.36216735839844,1020.1968383789062,876.8283081054688,880.1393432617188,1646.04931640625,1486.125244140625,1065.096435546875,823.55029296875
